Epoch 00076 | Loss 0.6562 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00077 | Loss 0.6557 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00078 | Loss 0.6552 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00079 | Loss 0.6547 | Test Acc 0.5000 | Time(s) 0.0394
Epoch 00080 | Loss 0.6542 | Test Acc 0.5000 | Time(s) 0.0394
Epoch 00081 | Loss 0.6537 | Test Acc 0.5000 | Time(s) 0.0393
Epoch 00082 | Loss 0.6532 | Test Acc 0.5000 | Time(s) 0.0393
Epoch 00083 | Loss 0.6527 | Test Acc 0.5000 | Time(s) 0.0393
Epoch 00084 | Loss 0.6521 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00085 | Loss 0.6516 | Test Acc 0.5000 | Time(s) 0.0397
Epoch 00086 | Loss 0.6511 | Test Acc 0.5000 | Time(s) 0.0398
Epoch 00087 | Loss 0.6506 | Test Acc 0.5000 | Time(s) 0.0397
Epoch 00088 | Loss 0.6501 | Test Acc 0.5000 | Time(s) 0.0397
Epoch 00089 | Loss 0.6495 | Test Acc 0.5000 | Time(s) 0.0397
Epoch 00090 | Loss 0.6490 | Test Acc 0.5000 | Time(s) 0.0396
Epoch 00091 | Loss 0.6485 | Test Acc 0.5000 | Time(s) 0.0397
Epoch 00092 | Loss 0.6480 | Test Acc 0.5000 | Time(s) 0.0396
Epoch 00093 | Loss 0.6474 | Test Acc 0.5000 | Time(s) 0.0396
Epoch 00094 | Loss 0.6469 | Test Acc 0.5000 | Time(s) 0.0396
Epoch 00095 | Loss 0.6463 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00096 | Loss 0.6458 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00097 | Loss 0.6452 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00098 | Loss 0.6447 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00099 | Loss 0.6441 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00100 | Loss 0.6436 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00101 | Loss 0.6430 | Test Acc 0.5000 | Time(s) 0.0397
